driver,team,winner,top3,top6,top10,flap,dnf
Norris,McLaren,13.0,4.0,1.6,1.2,10.0,7.0
Piastri,McLaren,8.0,2.5,1.35,1.12,9.0,7.0
Russell,Mercedes,2.75,1.35,1.05,1.03,3.0,8.0
Antonelli,Mercedes,6.5,1.9,1.18,1.09,8.0,7.5
Verstappen,Red Bull,5.0,1.65,1.12,1.07,4.0,7.0
Hadjar,Red Bull,41.0,9.0,2.5,1.4,26.0,8.0
Leclerc,Ferrari,4.5,1.5,1.14,1.06,4.0,8.0
Hamilton,Ferrari,8.5,2.25,1.22,1.1,7.0,8.0
Albon,Williams,301.0,67.0,18.0,3.5,67.0,8.0
Sainz,Williams,501.0,101.0,26.0,5.0,81.0,8.0
Lawson,Racing Bulls,201.0,41.0,12.0,4.0,67.0,9.0
Lindblad,Racing Bulls,101.0,21.0,5.0,2.0,51.0,9.0
Alonso,Aston Martin,2501.0,501.0,201.0,51.0,501.0,3.0
Stroll,Aston Martin,2501.0,501.0,201.0,51.0,501.0,3.0
Bearman,Haas,151.0,31.0,6.0,1.9,51.0,9.0
Ocon,Haas,201.0,41.0,12.0,2.0,59.0,9.0
Hulkenberg,Audi,251.0,41.0,8.0,4.0,67.0,10.0
Bortoleto,Audi,251.0,41.0,14.0,5.5,67.0,10.0
Gasly,Alpine,251.0,51.0,11.0,2.2,67.0,9.0
Colapinto,Alpine,501.0,101.0,22.0,3.5,81.0,9.0
Perez,Cadillac,2501.0,501.0,201.0,51.0,501.0,3.5
Bottas,Cadillac,2501.0,501.0,201.0,51.0,501.0,3.5
